v1,v2
ham,Are you free to grab some lunch today?
ham,Did our team win the match last night?
ham,I need to save some money for the weekend.
ham,Can you call me now? I am free.
ham,It is a win-win situation for both of us.
ham,Hey do you have any money I can borrow until tomorrow?
ham,Let me know when you are free to study Naive Bayes.
ham,What time is the class starting tomorrow morning?
ham,Hey mom can you pick me up after work today?
ham,Just wanted to say good luck on your presentation!
ham,Are we still meeting at the library at 4pm?
ham,Can you send me the link to that Python tutorial?
ham,Yeah I think that is a great idea let us do it.
ham,Sorry I missed your call I was in a meeting.
ham,Do you want to play video games tonight after dinner?
ham,Don't forget to buy milk on your way home.
ham,I'm running a bit late see you in ten minutes.
ham,Happy birthday! Hope you have an amazing day.
ham,Did you finish the homework assignment for tomorrow?
ham,I will be home by 6pm save some food for me.
ham,Can you check if I left my keys on the table?
ham,Thanks for the help today appreciate it a lot.
ham,Are you going to the gym later today?
ham,Let's hang out this weekend if you are free.
ham,I just got back from the store it was packed.
ham,The weather is so nice today we should go out.
ham,Can you send me the address of the restaurant?
ham,I'm heading to bed now talk to you tomorrow.
ham,Do you know what the traffic looks like right now?
ham,I will call you back as soon as I am done.
ham,Are we doing anything special for dinner tonight?
ham,I think I left my jacket at your house.
ham,Can you review this code before I submit it?
ham,Let me know when you get home safely.
ham,I'm cooking pasta tonight if you want some.
ham,Did you see the new movie that just came out?
ham,I'll be ready in five minutes just putting on shoes.
ham,Can we reschedule our meeting to Thursday?
ham,That sounds perfect let's lock in that time.
ham,I am so tired today I cannot wait to sleep.
ham,Do you want me to bring anything to the party?
ham,I'm just watching a movie at home right now.
ham,Can you forward me that email from the client?
ham,I'll check on that and get back to you soon.
ham,Are you busy right now or can you talk?
ham,I'm going for a run see you in an hour.
ham,Thanks for checking in on me I am feeling better.
ham,Do you need any help carrying those bags?
ham,Let's grab a coffee before the lecture starts.
ham,I just finished reading that book it was amazing.
spam,Win free money now! Click this link to claim your prize!
spam,URGENT! You have won a free cash prize. Call now!
spam,Get free money today! Just reply to this message.
spam,Congratulations! You are our lucky winner. Win free cash now.
spam,FREE INVESTMENT OPPORTUNITY! Make easy money fast.
spam,Urgent alert: Your account has been compromised. Verify here.
spam,Get a guaranteed $500 gift card free today click link.
spam,You have been selected for a luxury cruise! Claim now.
spam,Earn cash from home! No experience needed click here.
spam,Final notice: Your package delivery is pending payment.
spam,You won a brand new iPhone! Confirm your shipping details.
spam,Get rich quick with our new trading secrets! Sign up.
spam,Free entry to our weekly cash drawing. Reply WIN.
spam,Congratulations customer! You won a $1000 Walmart voucher.
spam,URGENT text back to claim your free lottery ticket.
spam,Lose weight fast with this miracle pill! Order now free.
spam,Your credit score is low! Clean it up today click link.
spam,Exclusive offer: Buy 1 get 1 free on all luxury watches.
spam,You are pre-approved for a $5000 loan! Apply now.
spam,Urgent response required: Claim your inheritance today.
spam,Make $1000 a day using this simple trick! Free trial.
spam,Free bonus cash when you open an account today!
spam,CONGRATS! You won the grand prize! Call 0800 now.
spam,Stop paying for cable! Get free channels with this link.
spam,Get unlimited free data today only! Click to activate.
spam,Your subscription will renew for $99. Cancel here free.
spam,Earn money while sleeping! Join our online seminar now.
spam,Congratulations you have won a free vacation to Hawaii!
spam,URGENT: Click here to secure your cryptocurrency wallet.
spam,Double your money in 24 hours! Safe and guaranteed.
spam,Free sample available for a limited time! Claim yours.
spam,Your loan application has been approved! Deposit now.
spam,WANT FREE CASH? Reply to this message immediately.
spam,You are our 100th visitor! Claim your free gift reward.
spam,Urgent message regarding your bank account. Review now.
spam,Get cash back on every purchase! Sign up for free today.
spam,WINNER! Your mobile number won £5000. Call to claim.
spam,Free trial expires tonight! Upgrade now for massive discount.
spam,Make easy money processing online surveys from home.
spam,Official notice: You have unclaimed funds waiting. Click here.
spam,Get a free laptop when you sign up for our course.
spam,URGENT: You owe taxes. Pay immediately to avoid penalties.
spam,Win a free trip to Dubai! Just fill out this survey.
spam,Your insurance rate dropped! Save money today click link.
spam,Earn $50 per hour from your phone! Free registration.
spam,Congratulations! Your email won our annual cash sweepstakes.
spam,Get free cryptocurrency drops today! Connect your wallet.
spam,Urgent security update required for your device. Download.
spam,Unlock financial freedom today! Free e-book download.
spam,WIN FREE PRIZES NOW! Enter your phone number to start.
